,h0,omega_m
0,63.473885,0.30826974
1,63.18941,0.28030172
2,59.985825,0.26183408
3,61.88848,0.27980068
4,65.379654,0.30063462
5,63.96555,0.29926392
6,60.309807,0.26576814
7,59.512066,0.27949128
8,61.882027,0.28536275
9,62.768524,0.2805201
10,61.546055,0.289833
11,63.346096,0.25643393
12,63.63101,0.27701712
13,59.211514,0.2736802
14,64.15053,0.28659314
15,61.744835,0.27274466
16,61.225643,0.28241926
17,63.597694,0.25716272
18,64.21205,0.2768425
19,63.528103,0.2891361
20,62.40356,0.2732882
21,64.070496,0.28720582
22,62.082436,0.28366953
23,60.034554,0.285981
24,59.59303,0.28472742
25,63.408474,0.27422383
26,61.991077,0.28399038
27,64.470474,0.27435774
28,63.866177,0.2508105
29,60.342236,0.29241052
30,61.130714,0.28436494
31,62.648594,0.29594958
32,61.12188,0.26245534
33,59.976643,0.2543302
34,63.384727,0.2781002
35,61.36142,0.27296165
36,65.38442,0.29988682
37,60.64376,0.28416482
38,63.016518,0.27668253
39,59.79566,0.2778927
40,63.30146,0.2527941
41,62.115746,0.2661459
42,67.00046,0.2793812
43,60.84379,0.28625193
44,65.98984,0.28755125
45,63.349636,0.26766422
46,63.445038,0.26436913
47,67.02122,0.25977746
48,62.915928,0.28102702
49,65.54131,0.27946398
50,65.28997,0.27036676
51,62.05818,0.29188216
52,58.52743,0.2917584
53,62.10713,0.25482038
54,61.968838,0.27748203
55,66.20457,0.2800319
56,61.604794,0.28439206
57,62.54532,0.25728214
58,61.27135,0.27224332
59,61.750507,0.28728634
60,60.889328,0.25570256
61,63.246822,0.27924395
62,63.338333,0.27844727
63,61.201584,0.29860803
64,62.469303,0.2660183
65,62.545082,0.28134114
66,60.965042,0.2721317
67,61.64578,0.2991416
68,61.114605,0.2729929
69,62.76192,0.27234071
70,62.163322,0.3042194
71,64.85394,0.30022472
72,63.817646,0.2693206
73,66.49982,0.278615
74,62.46822,0.28097504
75,64.73112,0.27123362
76,65.403564,0.27742714
77,64.801796,0.27948684
78,56.225334,0.29262763
79,63.64495,0.27794838
80,63.30887,0.27326453
81,61.914646,0.27874067
82,61.18909,0.2887718
83,66.45445,0.28614134
84,61.82048,0.29532963
85,63.737232,0.28909987
86,60.61799,0.2677732
87,60.109264,0.27682295
88,61.052532,0.2706636
89,64.87979,0.2638529
90,59.005314,0.28782964
91,62.64682,0.2753571
92,60.77047,0.26892918
93,61.850357,0.27558383
94,61.083694,0.28782538
95,62.897182,0.30901822
96,65.84834,0.2825471
97,59.359886,0.27793965
98,61.213097,0.29036367
99,64.8034,0.28795654
100,63.236275,0.28036508
101,66.69144,0.27715507
102,61.638084,0.28324434
103,66.391655,0.27118358
104,58.988544,0.2806423
105,63.363514,0.27865538
106,62.890953,0.27419606
107,65.50121,0.30508488
108,60.333393,0.27862445
109,64.22133,0.28693646
110,60.72494,0.2812185
111,63.80528,0.27466246
112,63.61291,0.30331892
113,64.59143,0.28471297
114,59.843567,0.26259074
115,54.84735,0.25677726
116,65.287346,0.27569214
117,63.130733,0.26430014
118,63.689526,0.27513853
119,61.97246,0.28940767
120,61.266724,0.30050558
121,63.439785,0.28344965
122,62.593487,0.2800483
123,61.22476,0.2810451
124,61.057693,0.2725951
125,65.15498,0.28559464
126,61.325447,0.28236473
127,60.912617,0.28433403
128,59.523186,0.27202037
129,63.923714,0.27757934
130,61.822548,0.29107952
131,57.8484,0.2906893
132,65.32229,0.2597998
133,64.38403,0.2749335
134,63.19379,0.2613939
135,62.330822,0.28533453
136,63.723984,0.26533368
137,62.20125,0.28931472
138,62.467773,0.2714237
139,60.6981,0.2716733
140,60.90797,0.2745671
141,61.60171,0.2993917
142,64.1732,0.28411755
143,58.992146,0.2719116
144,59.08087,0.25113627
145,63.849422,0.27147737
146,63.074482,0.28289124
147,67.030304,0.27014998
148,61.642696,0.27033076
149,59.956387,0.27419165
150,62.419323,0.26832405
151,60.762657,0.27550268
152,65.78989,0.29816258
153,61.92312,0.27965045
154,63.263023,0.2822335
155,61.50034,0.27943903
156,60.626743,0.26848087
157,61.809795,0.27821508
158,62.277977,0.28490254
159,63.74858,0.26171136
160,65.06068,0.2696624
161,64.6374,0.26855302
162,64.652405,0.26208547
163,65.33102,0.2781856
164,61.382145,0.27777922
165,58.220604,0.28680357
166,59.180214,0.2871645
167,63.951355,0.28257385
168,63.370846,0.2686452
169,61.704315,0.27364174
170,61.89187,0.27541465
171,63.947235,0.2728429
172,63.939068,0.26768515
173,59.621033,0.26876822
174,64.124016,0.27643594
175,64.35806,0.28177
176,58.686275,0.28038797
177,61.411636,0.2780257
178,61.941887,0.30274147
179,63.01718,0.2793416
180,62.437737,0.26853293
181,62.14152,0.28961056
182,60.010666,0.2644397
183,61.998856,0.28555405
184,62.628498,0.27086252
185,60.575882,0.27115723
186,62.850163,0.29400945
187,62.33765,0.26898628
188,65.600975,0.28237033
189,61.528618,0.25690877
190,60.166466,0.2750362
191,60.035633,0.29682288
192,66.5592,0.2577726
193,64.16338,0.29179364
194,60.218433,0.29227993
195,61.943626,0.2730792
196,59.43718,0.2681868
197,63.202396,0.2825491
198,63.80239,0.2709272
199,58.173454,0.29073176
200,60.45051,0.29058915
201,64.92773,0.27929398
202,63.31107,0.28220898
203,61.412907,0.27042896
204,64.03193,0.28350863
205,61.195152,0.25932556
206,64.722626,0.27004328
207,63.827778,0.26112872
208,64.19408,0.2897962
209,62.73592,0.297173
210,62.284485,0.28400007
211,64.38352,0.27967197
212,63.9,0.27807844
213,67.352234,0.29159498
214,62.39159,0.27429703
215,62.094044,0.27960435
216,60.88942,0.27955508
217,59.56183,0.27917764
218,61.5686,0.27669385
219,61.756657,0.26681978
220,61.174946,0.29228377
221,60.5203,0.27597734
222,63.796417,0.2777096
223,61.85732,0.27352962
224,64.56464,0.28473234
225,63.80006,0.28641167
226,63.78568,0.27584076
227,64.252945,0.27984652
228,61.882156,0.28029975
229,65.09592,0.29417244
230,60.066933,0.280439
231,60.237614,0.28056067
232,62.74116,0.2572362
233,64.54463,0.2843289
234,65.20017,0.27695286
235,61.443542,0.2758461
236,60.963623,0.30528647
237,60.20085,0.28118885
238,61.186623,0.2806119
239,60.823334,0.2870682
240,61.286903,0.27986264
241,63.77279,0.25920743
242,64.11523,0.27521256
243,62.742844,0.28020102
244,64.7947,0.2757135
245,60.7968,0.279509
246,65.21702,0.28349018
247,62.522682,0.2601572
248,64.00937,0.26529595
249,63.583847,0.26275092
250,62.02563,0.2680571
251,62.767376,0.27092668
252,61.20739,0.27931952
253,62.54976,0.25728917
254,63.25538,0.27996555
255,62.133015,0.27721223
256,62.965595,0.27048633
257,63.00402,0.29151776
258,61.978313,0.30044734
259,62.93081,0.2766688
260,64.21104,0.2803951
261,60.605255,0.28825536
262,62.73085,0.2857797
263,63.48866,0.289534
264,63.586838,0.28741404
265,61.2906,0.27723846
266,62.16084,0.29159942
267,64.04835,0.28684357
268,64.93114,0.27532703
269,61.578304,0.30092782
270,61.52502,0.28542486
271,60.588615,0.2784184
272,62.718235,0.27372918
273,63.550938,0.28698465
274,58.58777,0.27379674
275,61.98121,0.27685794
276,60.45284,0.27429977
277,64.565155,0.26900345
278,66.068535,0.28087577
279,67.82364,0.2840742
280,60.971657,0.2798206
281,64.67106,0.2671615
282,63.88788,0.27586502
283,61.108475,0.29589233
284,64.752335,0.26076642
285,60.802773,0.26823947
286,64.07451,0.27118355
287,59.926556,0.2669289
288,65.249825,0.28234753
289,63.249786,0.29170686
290,62.171825,0.29633498
291,65.323326,0.27292383
292,65.964714,0.27868295
293,63.93537,0.30685735
294,61.77136,0.27101034
295,62.548466,0.27703348
296,59.844242,0.2804667
297,59.862103,0.26229638
298,63.147346,0.27736557
299,61.829967,0.28996426
300,62.992035,0.28393346
301,68.673965,0.27082673
302,62.43177,0.2994496
303,64.17757,0.26338762
304,60.365715,0.28475404
305,63.782852,0.27422783
306,60.189,0.295818
307,64.77641,0.26150492
308,63.031036,0.29363593
309,61.182423,0.26177084
310,63.2838,0.28860304
311,62.912254,0.27688432
312,62.036716,0.26719725
313,60.037724,0.2643731
314,63.04131,0.276466
315,60.23835,0.26877087
316,59.815887,0.28684124
317,60.253384,0.27999964
318,62.61738,0.28836113
319,62.9152,0.29953527
320,62.644955,0.29511055
321,59.54793,0.26570538
322,61.989876,0.29724732
323,63.67835,0.2769128
324,63.332153,0.29109555
325,60.937145,0.26228672
326,60.920155,0.2929252
327,63.149662,0.26206928
328,65.26654,0.26836565
329,62.871254,0.27845073
330,62.619705,0.30945492
331,62.399754,0.29136696
332,60.726185,0.28412306
333,65.277664,0.28122422
334,62.848713,0.2918902
335,63.944878,0.2924181
336,63.17201,0.2980805
337,65.42873,0.27552706
338,65.458,0.2822721
339,63.56468,0.26869938
340,64.90899,0.25663355
341,61.329525,0.28044924
342,68.23169,0.27307105
343,59.212944,0.2791041
344,60.84384,0.27773905
345,62.15538,0.28900763
346,67.74592,0.27921683
347,63.853508,0.28418693
348,60.040237,0.26647636
349,60.060062,0.28731164
350,63.239532,0.29609865
351,59.591503,0.2586992
352,63.988213,0.30215016
353,61.458668,0.29494944
354,65.74118,0.25777856
355,60.66195,0.27781934
356,63.65208,0.31169993
357,58.909866,0.2942711
358,62.751842,0.28342497
359,63.098766,0.2773929
360,61.282036,0.29048723
361,65.68149,0.27384472
362,63.158894,0.2668632
363,61.326637,0.28038868
364,60.642563,0.268109
365,60.07867,0.27092758
366,60.492676,0.2842582
367,64.06383,0.27125508
368,62.789196,0.2742087
369,60.43848,0.30386397
370,64.21324,0.2772512
371,63.698055,0.29255965
372,62.320053,0.2644322
373,65.34908,0.2949745
374,61.490215,0.2781131
375,62.225838,0.2721464
376,63.535408,0.2899102
377,65.39674,0.27243736
378,61.52021,0.2852675
379,62.333176,0.28126302
380,63.15152,0.27298668
381,60.281666,0.26097077
382,67.79149,0.27300084
383,64.40224,0.2941244
384,65.80305,0.28082457
385,61.546783,0.26941666
386,63.65353,0.26322746
387,62.901733,0.28756532
388,63.512386,0.29580915
389,63.044155,0.2667724
390,62.246887,0.2745218
391,63.28157,0.2730619
392,58.649273,0.27348098
393,63.365273,0.26831773
394,63.63011,0.2585738
395,66.31904,0.2730276
396,61.602398,0.2797434
397,63.84056,0.28372872
398,61.195038,0.27492508
399,63.314796,0.27621266
400,61.907436,0.27144364
401,62.3546,0.25779083
402,62.35786,0.2734596
403,65.14502,0.2613592
404,64.12233,0.276826
405,62.216415,0.26391432
406,68.12272,0.2970812
407,64.19627,0.28099653
408,65.904594,0.26671857
409,60.863197,0.26534724
410,63.38912,0.27137408
411,64.457405,0.2660358
412,57.761547,0.27361885
413,65.78264,0.27407363
414,63.30351,0.27602148
415,61.830856,0.2673077
416,64.32365,0.28470883
417,59.02367,0.27339104
418,62.020588,0.28601107
419,63.685455,0.25946617
420,62.70862,0.2772443
421,63.00539,0.2922157
422,66.99856,0.2920055
423,61.41703,0.2885079
424,60.028885,0.28196922
425,62.865803,0.28526342
426,62.82668,0.28510523
427,60.92319,0.2740953
428,63.17954,0.2718255
429,60.66302,0.29023573
430,62.986237,0.28478295
431,62.93654,0.2809744
432,61.130753,0.30771574
433,61.451847,0.27270505
434,62.290783,0.27220678
435,61.537663,0.28718105
436,61.32185,0.27554068
437,63.46558,0.26992917
438,62.717316,0.2753603
439,59.63016,0.28841427
440,62.25624,0.28423262
441,61.200188,0.28225192
442,59.975807,0.2877111
443,61.05614,0.29359615
444,60.718056,0.285305
445,61.33497,0.2662936
446,61.418278,0.26540208
447,61.456337,0.26496702
448,65.85913,0.26459533
449,61.052193,0.27087584
450,61.790604,0.2949987
451,63.69706,0.28230977
452,65.36028,0.2953172
453,61.616055,0.27619898
454,61.374336,0.30037895
455,63.463055,0.2796945
456,59.720547,0.285972
457,60.137768,0.27865347
458,63.759216,0.2865012
